Year,Month,Day,Hour,Value
2018,01,21,7,38.08
2018,01,21,8,38.18
2018,01,21,9,38.63
2018,01,21,10,40.35
2018,01,21,11,46.7
2018,01,21,12,46.05
2018,01,21,13,45.97
2018,01,21,14,47.93
2018,01,21,15,45.66
2018,01,21,16,44.2
2018,01,21,17,41.69
2018,01,21,18,44.54
2018,01,21,19,58.03
2018,01,21,20,60.9
2018,01,21,21,61.97
2018,01,21,22,63.43
2018,01,21,23,61.8
2018,01,21,24,59.54
2018,01,22,1,58.03
2018,01,22,2,44.72
2018,01,22,3,40.95
2018,01,22,4,40.35
2018,01,22,5,39.85
2018,01,22,6,40.2
2018,01,22,7,44.5
2018,01,22,8,58.03
2018,01,22,9,59.01
2018,01,22,10,60.79
2018,01,22,11,60.1
2018,01,22,12,58.7
2018,01,22,13,58.09
2018,01,22,14,58.01
2018,01,22,15,55.69
2018,01,22,16,52.73
2018,01,22,17,52.16
2018,01,22,18,55.8
2018,01,22,19,57.69
2018,01,22,20,59.03
2018,01,22,21,61.01
2018,01,22,22,60.32
2018,01,22,23,57.86
2018,01,22,24,56.09
2018,01,23,1,59.01
2018,01,23,2,53.01
2018,01,23,3,49.4
2018,01,23,4,47.43
2018,01,23,5,47.43
2018,01,23,6,47.76
2018,01,23,7,53.48
2018,01,23,8,59.34
2018,01,23,9,61.41
2018,01,23,10,61.8
2018,01,23,11,61.62
2018,01,23,12,60.69
2018,01,23,13,59.55
2018,01,23,14,60.02
2018,01,23,15,59.34
2018,01,23,16,58.7
2018,01,23,17,59.34
2018,01,23,18,58.03
2018,01,23,19,61.09
2018,01,23,20,62.57
2018,01,23,21,63.51
2018,01,23,22,63.09
2018,01,23,23,61.77
2018,01,23,24,61.69
2018,01,24,1,61.59
2018,01,24,2,59.75
2018,01,24,3,57.69
2018,01,24,4,53.01
2018,01,24,5,49.57
2018,01,24,6,51
2018,01,24,7,56.65
2018,01,24,8,58.7
2018,01,24,9,59.9
2018,01,24,10,59.9
2018,01,24,11,58.51
2018,01,24,12,57.45
2018,01,24,13,55.9
2018,01,24,14,55.83
2018,01,24,15,53.56
2018,01,24,16,50.86
2018,01,24,17,50.09
2018,01,24,18,52.17
2018,01,24,19,57.45
2018,01,24,20,59.75
2018,01,24,21,60.82
2018,01,24,22,60.01
2018,01,24,23,59
2018,01,24,24,57.69
2018,01,25,1,58.95
2018,01,25,2,56.02
2018,01,25,3,47.76
2018,01,25,4,46.01
2018,01,25,5,45.39
2018,01,25,6,45.39
2018,01,25,7,54.82
2018,01,25,8,55.84
2018,01,25,9,58.68
2018,01,25,10,59.11
2018,01,25,11,58.95
2018,01,25,12,58.19
2018,01,25,13,56.94
2018,01,25,14,56.92
2018,01,25,15,55.69
2018,01,25,16,51.89
2018,01,25,17,49
2018,01,25,18,49.37
2018,01,25,19,55.69
2018,01,25,20,57.69
2018,01,25,21,57.98
2018,01,25,22,54.19
2018,01,25,23,48.17
2018,01,25,24,43.09
2018,01,26,1,42.61
2018,01,26,2,38.12
2018,01,26,3,37.59
2018,01,26,4,37.39
2018,01,26,5,37.09
2018,01,26,6,36.84
2018,01,26,7,39.91
2018,01,26,8,51.27
2018,01,26,9,57.3
2018,01,26,10,58.01
2018,01,26,11,57.6
2018,01,26,12,53.75
2018,01,26,13,50.23
2018,01,26,14,49.2
2018,01,26,15,48.96
2018,01,26,16,48.25
2018,01,26,17,48.25
2018,01,26,18,51.15
2018,01,26,19,54.7
2018,01,26,20,57.98
2018,01,26,21,58.44
2018,01,26,22,58.39
2018,01,26,23,57.3
2018,01,26,24,54.77
2018,01,27,1,51.47
2018,01,27,2,39.52
2018,01,27,3,38.12
2018,01,27,4,38.05
2018,01,27,5,37.92
2018,01,27,6,37.92
2018,01,27,7,38.09
2018,01,27,8,39.27
2018,01,27,9,43.45
2018,01,27,10,51.47
2018,01,27,11,56.09
2018,01,27,12,54.15
2018,01,27,13,49.09
2018,01,27,14,51.09
2018,01,27,15,46.95
2018,01,27,16,44.6
2018,01,27,17,44.49
2018,01,27,18,46
2018,01,27,19,57.2
2018,01,27,20,60.08
2018,01,27,21,60.59
2018,01,27,22,60.61
2018,01,27,23,60.37
2018,01,27,24,59.42
2018,01,28,1,57.12
2018,01,28,2,53.01
2018,01,28,3,42.1
2018,01,28,4,39.98
