date,hour,class,type,regime,Price_LOW,Price_MED,Price_HIGH,p_mean_pred_eur_mwh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase
2025-12-24,15,LAB_INV,LAB,NORMAL,99.22801224509196,124.03501530636494,148.84201836763793,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,16,LAB_INV,LAB,NORMAL,104.48592637056765,130.60740796320957,156.72888955585148,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,17,LAB_INV,LAB,NORMAL,116.78298668942307,145.97873336177884,175.1744800341346,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,18,LAB_INV,LAB,NORMAL,129.02760701980623,161.28450877475777,193.5414105297093,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,19,LAB_INV,LAB,NORMAL,138.65452229139507,173.31815286424384,207.98178343709262,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,20,LAB_INV,LAB,NORMAL,138.83431242861027,173.54289053576284,208.2514686429154,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,21,LAB_INV,LAB,NORMAL,129.08229953128088,161.3528744141011,193.62344929692134,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,22,LAB_INV,LAB,NORMAL,116.4702600710605,145.5878250888256,174.70539010659073,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,23,LAB_INV,LAB,NORMAL,104.53237246174591,130.66546557718237,156.79855869261885,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,0,DOM_INV,DOM,LOW,59.77436252335183,74.71795315418979,89.66154378502775,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,1,DOM_INV,DOM,LOW,55.135840633353396,68.91980079169174,82.70376095003009,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,2,DOM_INV,DOM,LOW,52.36262194497381,65.45327743121726,78.54393291746071,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,3,DOM_INV,DOM,LOW,49.75819116295034,62.19773895368792,74.6372867444255,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,4,DOM_INV,DOM,LOW,58.35828528689481,72.94785660861851,87.5374279303422,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,5,DOM_INV,DOM,LOW,58.09299688833977,72.61624611042471,87.13949533250965,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,6,DOM_INV,DOM,LOW,59.003234744533046,73.7540434306663,88.50485211679955,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,7,DOM_INV,DOM,LOW,61.46437659951506,76.83047074939383,92.19656489927259,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,8,DOM_INV,DOM,LOW,64.22254755140665,80.27818443925831,96.33382132710997,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,9,DOM_INV,DOM,LOW,66.20620984453032,82.7577623056629,99.30931476679547,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,10,DOM_INV,DOM,LOW,65.95886363734586,82.44857954668232,98.93829545601879,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,11,DOM_INV,DOM,LOW,64.28857750719256,80.36072188399069,96.43286626078883,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,12,DOM_INV,DOM,LOW,62.87476222299928,78.5934527787491,94.31214333449891,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,13,DOM_INV,DOM,LOW,63.30149076542325,79.12686345677906,94.95223614813487,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,14,DOM_INV,DOM,LOW,62.085217161567044,77.6065214519588,93.12782574235055,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,15,DOM_INV,DOM,LOW,59.955509872329685,74.9443873404121,89.93326480849453,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,16,DOM_INV,DOM,LOW,63.82072775321805,79.77590969152256,95.73109162982706,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,17,DOM_INV,DOM,LOW,73.98566937677319,92.48208672096648,110.97850406515977,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,18,DOM_INV,DOM,LOW,83.37497097156093,104.21871371445116,125.06245645734138,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,19,DOM_INV,DOM,LOW,90.02934743516239,112.53668429395299,135.04402115274357,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,20,DOM_INV,DOM,LOW,94.70102805733782,118.37628507167227,142.05154208600672,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,21,DOM_INV,DOM,LOW,92.79554256960847,115.99442821201058,139.19331385441268,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,22,DOM_INV,DOM,LOW,85.4331391188455,106.79142389855687,128.14970867826824,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-25,23,DOM_INV,DOM,LOW,78.95598035416239,98.69497544270298,118.43397053124357,84.68434864496747,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,0,LAB_INV,LAB,NORMAL,60.27848118840559,75.34810148550699,90.41772178260838,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,1,LAB_INV,LAB,NORMAL,54.598294353099746,68.24786794137468,81.89744152964961,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,2,LAB_INV,LAB,NORMAL,50.45631804984612,63.07039756230764,75.68447707476916,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,3,LAB_INV,LAB,NORMAL,48.02429445200789,60.03036806500985,72.03644167801183,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,4,LAB_INV,LAB,NORMAL,65.942007239502,82.4275090493775,98.913010859253,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,5,LAB_INV,LAB,NORMAL,70.24487229789344,87.8060903723668,105.36730844684016,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,6,LAB_INV,LAB,NORMAL,81.83059660236988,102.28824575296234,122.7458949035548,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,7,LAB_INV,LAB,NORMAL,98.35742622215078,122.94678277768847,147.53613933322615,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,8,LAB_INV,LAB,NORMAL,107.4651697024536,134.331462128067,161.19775455368037,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,9,LAB_INV,LAB,NORMAL,107.04583304929652,133.80729131162065,160.56874957394476,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,10,LAB_INV,LAB,NORMAL,100.52161435743194,125.65201794678993,150.7824215361479,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,11,LAB_INV,LAB,NORMAL,94.63127549184533,118.28909436480666,141.94691323776797,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,12,LAB_INV,LAB,NORMAL,91.46443543998737,114.33054429998421,137.19665315998105,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,13,LAB_INV,LAB,NORMAL,89.49906923562595,111.87383654453244,134.2486038534389,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,14,LAB_INV,LAB,NORMAL,86.83203838751574,108.54004798439466,130.2480575812736,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,15,LAB_INV,LAB,NORMAL,86.48179493887882,108.10224367359852,129.7226924083182,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,16,LAB_INV,LAB,NORMAL,91.06430990534301,113.83038738167875,136.59646485801449,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,17,LAB_INV,LAB,NORMAL,101.7817658412688,127.22720730158598,152.67264876190316,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,18,LAB_INV,LAB,NORMAL,112.45351790560584,140.56689738200728,168.68027685840875,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,19,LAB_INV,LAB,NORMAL,120.84381912775581,151.05477390969475,181.26572869163368,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,20,LAB_INV,LAB,NORMAL,121.00051453489823,151.2506431686228,181.50077180234734,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,21,LAB_INV,LAB,NORMAL,112.50118495501081,140.6264811937635,168.7517774325162,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,22,LAB_INV,LAB,NORMAL,101.50921015191003,126.88651268988752,152.26381522786502,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-26,23,LAB_INV,LAB,NORMAL,91.1047898186468,113.88098727330849,136.6571847279702,111.7673246483724,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,0,SAT_INV,SAT,LOW,59.46169241331642,74.32711551664552,89.19253861997463,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,1,SAT_INV,SAT,LOW,55.964347614875535,69.95543451859442,83.9465214223133,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,2,SAT_INV,SAT,LOW,52.958970227849626,66.19871278481203,79.43845534177443,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,3,SAT_INV,SAT,LOW,51.332870801162635,64.16608850145329,76.99930620174395,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,4,SAT_INV,SAT,LOW,60.55075816336519,75.68844770420648,90.82613724504778,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,5,SAT_INV,SAT,LOW,60.31845273864939,75.39806592331173,90.47767910797408,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,6,SAT_INV,SAT,LOW,62.0569589290981,77.57119866137262,93.08543839364714,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,7,SAT_INV,SAT,LOW,64.80982415766783,81.01228019708479,97.21473623650175,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,8,SAT_INV,SAT,LOW,68.00071703361921,85.00089629202401,102.00107555042881,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,9,SAT_INV,SAT,LOW,70.75366894241574,88.44208617801968,106.13050341362361,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,10,SAT_INV,SAT,LOW,70.0434384570339,87.55429807129238,105.06515768555086,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,11,SAT_INV,SAT,LOW,66.23264941356676,82.79081176695844,99.34897412035012,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,12,SAT_INV,SAT,LOW,63.95477404345874,79.94346755432342,95.9321610651881,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,13,SAT_INV,SAT,LOW,63.31683630984931,79.14604538731163,94.97525446477395,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,14,SAT_INV,SAT,LOW,62.17644965328597,77.72056206660746,93.26467447992894,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,15,SAT_INV,SAT,LOW,61.10354685212274,76.37943356515342,91.6553202781841,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,16,SAT_INV,SAT,LOW,63.618518534366075,79.52314816795759,95.4277778015491,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,17,SAT_INV,SAT,LOW,69.96494225934964,87.45617782418705,104.94741338902446,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,18,SAT_INV,SAT,LOW,78.41999152954838,98.02498941193547,117.62998729432255,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,19,SAT_INV,SAT,LOW,84.95972218860408,106.19965273575508,127.43958328290609,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,20,SAT_INV,SAT,LOW,87.4572146179528,109.321518272441,131.18582192692918,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,21,SAT_INV,SAT,LOW,82.66690708449934,103.33363385562417,124.000360626749,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,22,SAT_INV,SAT,LOW,76.71498965348987,95.89373706686233,115.07248448023479,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-27,23,SAT_INV,SAT,LOW,72.36408735263262,90.45510919079078,108.54613102894893,83.81262130061353,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,0,DOM_INV,DOM,LOW,50.91593894417773,63.64492368022216,76.37390841626659,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,1,DOM_INV,DOM,LOW,46.964835371134576,58.70604421391822,70.44725305670185,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,2,DOM_INV,DOM,LOW,44.60260133875614,55.75325167344517,66.9039020081342,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
