date,hour,class,type,regime,p_mean_pred_eur_mwh,Price_EUR_MWh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase,Source
2025-12-25,4,DOM_INV,DOM,LOW,84.68434864496747,72.94785660861851,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,5,DOM_INV,DOM,LOW,84.68434864496747,72.61624611042471,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,6,DOM_INV,DOM,LOW,84.68434864496747,73.7540434306663,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,7,DOM_INV,DOM,LOW,84.68434864496747,76.83047074939383,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,8,DOM_INV,DOM,LOW,84.68434864496747,80.27818443925831,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,9,DOM_INV,DOM,LOW,84.68434864496747,82.7577623056629,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,10,DOM_INV,DOM,LOW,84.68434864496747,82.44857954668232,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,11,DOM_INV,DOM,LOW,84.68434864496747,80.36072188399069,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,12,DOM_INV,DOM,LOW,84.68434864496747,78.5934527787491,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,13,DOM_INV,DOM,LOW,84.68434864496747,79.12686345677906,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,14,DOM_INV,DOM,LOW,84.68434864496747,77.6065214519588,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,15,DOM_INV,DOM,LOW,84.68434864496747,74.9443873404121,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,16,DOM_INV,DOM,LOW,84.68434864496747,79.77590969152256,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
